taxon_name	CON_18018_1	CON_18018_2	CON_18018_3	CON_18018_4	CON_18018_5	CON_18018_6	CON_19007_1	CON_19007_2	CON_19009_1	CON_19009_2	CON_19010_1	CON_19011_1	CON_19012_1	CON_19016_1	CON_19017_1	CON_19018_1	CON_19019_1	CON_19020_1	CON_19021_1	CON_19024_1	CON_19027_1	CON_19028_1	CON_19029_1	CON_19031_1	CON_19032_1	CON_19033_1	CON_19034_1	CON_19035_1	CON_19036_1	CON_19037_1	CON_19041_1	CON_19042_1	DCA_18002_1	DCA_18003_1	DCA_18019_2	DCA_18021_3	DCA_18021_4	DCA_18024_1	DCA_19001_1	DCA_19014_1	DCA_19023_1	DCA_19026_1	DC_18001_1	DC_18004_1	DC_18005_1	DC_18006_2	DC_18007_1	DC_18008_1	DC_18009_1	DC_18011_1	DC_18012_1	DC_18012_2	DC_18020_2	DC_18022_1	DC_18022_2	DC_18026_1	DC_18029_1	DC_19030_1	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia	0	0	0	0	0	0	43	39	15	19	47	0	0	0	0	0	0	13	0	0	124	34	16	0	0	0	0	0	0	12	22	219	0	0	0	0	13	10	0	0	0	200	0	0	0	0	0	4	0	0	21	0	0	0	1	0	0	188	1040	0.29%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__unclassified_f__Oscillospiraceae	0	4	0	0	6	0	36	0	1	8	0	0	0	23	0	18	5	33	11	1	0	0	10	0	0	11	0	8	10	14	32	76	89	54	5	7	37	41	0	47	74	61	22	11	20	16	81	80	0	0	0	1	3	0	1	8	0	55	1020	0.28%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__unclassified_f__Oxalobacteraceae	0	0	0	45	48	0	12	0	0	154	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	215	0	118	31	14	0	2	0	0	0	0	181	0	0	31	0	4	18	25	0	0	0	0	0	0	0	0	0	0	971	0.27%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia	0	0	0	0	0	0	97	11	0	27	0	0	0	38	0	75	0	23	0	0	19	16	16	0	0	0	0	69	0	19	61	32	70	44	0	10	0	0	0	0	41	84	5	0	0	0	70	35	13	0	0	0	0	0	0	0	0	89	964	0.27%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	5	11	0	58	6	16	0	153	0	0	5	15	14	0	0	0	14	20	0	9	14	0	8	0	0	0	9	0	8	6	34	0	0	0	272	6	120	20	0	0	16	0	0	0	3	0	0	0	0	9	10	9	14	25	0	4	3	10	926	0.26%
d__Bacteria; k__norank_d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	23	0	0	0	0	0	0	0	0	57	100	132	11	66	60	141	8	0	0	0	0	0	0	0	0	891	0.25%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Bosea	24	36	28	0	30	57	16	14	20	9	0	25	21	19	24	22	33	4	17	30	43	0	23	38	0	15	0	17	17	0	11	5	10	0	0	23	8	10	0	24	12	0	0	19	6	0	0	0	9	21	42	29	9	26	20	10	7	7	890	0.25%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	44	51	34	24	27	27	0	25	0	2	8	19	9	18	0	3	5	0	0	0	0	3	14	0	15	0	13	10	0	0	7	0	35	4	30	55	11	24	0	0	0	28	26	39	37	5	3	0	0	49	37	43	20	26	22	17	0	16	885	0.25%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__unclassified_f__Xanthobacteraceae	9	11	0	133	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	42	0	3	0	0	0	0	0	1	113	125	122	15	34	66	71	34	0	0	0	12	0	3	0	0	866	0.24%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_AC2044_group	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	85	0	42	33	55	28	0	0	24	66	54	60	34	122	0	0	0	0	0	0	18	0	0	0	0	0	14	0	0	0	71	0	864	0.24%
